frame,license_plate,correct
16,DEAN,Yes
17,,No
18,RECZANE,Yes
19,,No
21,,No
24,128677,Yes
25,2067K7,Yes
26,12867KMZ,Yes
27,286742,Yes
28,28572,Yes
30,2867KHZ,Yes
31,2867KMZ,Yes
32,2867KMZ,Yes
33,2867KZ,Yes
34,2867KZ,Yes
35,2867AHZ,Yes
36,2867AHZ,Yes
37,2867RHZ,Yes
38,2067KHZ,Yes
39,2867ANZ,Yes
40,2867KHZ,Yes
41,2867KHZ,Yes
42,2867KHZ,Yes
43,2867KHZ,Yes
44,2867KHZ,Yes
45,2867KHZ,Yes
46,12067KHZ,Yes
47,12867KHZ,Yes
48,2867KHZ,Yes
49,2867KHZ,Yes
50,2867KHZ,Yes
51,2867KHZ,Yes
52,2867KHZ,Yes
53,12867KHZ,Yes
54,12867KHZ,Yes
55,2867KHZ,Yes
56,2867KHZ,Yes
57,2867KHZ,Yes
58,2867KHZ,Yes
59,2867KHZ,Yes
60,2867KHZ,Yes
61,2867KHZ,Yes
62,2867KHZ,Yes
63,2867KHZ,Yes
64,2867KHZ,Yes
65,2867KHZ,Yes
66,2867KHZ,Yes
67,2867KHZ,Yes
68,2867KHZ,Yes
69,2867KHZ,Yes
70,2867KHZ,Yes
71,2867KHZ,Yes
72,2867KHZ,Yes
73,2867KHZ,Yes
74,2867KHZ,Yes
75,2867KHZ,Yes
76,2867KHZ,Yes
77,2867KHZ,Yes
78,2867KHZ,Yes
79,2867KHZ,Yes
80,2867KHZ,Yes
81,2867KHZ,Yes
82,2867KHZ,Yes
83,2867KHZ,Yes
84,2867KHZ,Yes
85,2867KHZ,Yes
86,2867KHZ,Yes
87,2867KHZ,Yes
88,2867KHZ,Yes
89,2867KHZ,Yes
90,2867KHZ,Yes
91,2867KHZ,Yes
92,2867KHZ,Yes
93,2867KHZ,Yes
94,2867KHZ,Yes
95,2867KHZ,Yes
96,2867KHZ,Yes
97,2867KHZ,Yes
98,2867KHZ,Yes
99,2867KHZ,Yes
100,2867KHZ,Yes
101,2867KHZ,Yes
102,2867KHZ,Yes
103,2867KHZ,Yes
104,2867KHZ,Yes
105,2867KHZ,Yes
106,2867KHZ,Yes
107,2867KHZ,Yes
108,2867KHZ,Yes
109,2867KHZ,Yes
110,2867KHZ,Yes
111,2867KHZ,Yes
112,2867KHZ,Yes
113,2867KHZ,Yes
114,2867KHZ,Yes
115,2867KHZ,Yes
116,02867KHZ,Yes
117,62867KHZ,Yes
118,2867KHZ,Yes
119,2867KHZ,Yes
120,2867KHZ,Yes
121,2867KHZ,Yes
122,2867KHZ,Yes
123,2867KHZ,Yes
124,2867KHZ,Yes
125,2867KHZ,Yes
126,2867KHZ,Yes
127,2867KHZ,Yes
128,12867KHZ,Yes
129,2867KHZ,Yes
130,2867KHZ,Yes
131,12867KHZ,Yes
132,12867KHZ,Yes
133,12867KHZ,Yes
134,12867KHZ,Yes
135,12867KHZ,Yes
136,2867KHZ,Yes
137,2867KHZ,Yes
138,2867KHZ,Yes
139,2867KHZ,Yes
140,2867KHZ,Yes
141,2867KHZ,Yes
142,2867KHZ,Yes
143,2867KHZ,Yes
144,2867KHZ,Yes
145,2867KHZ,Yes
146,2867KHZ,Yes
147,2867KHZ,Yes
148,2867KHZ,Yes
149,2867KHZ,Yes
150,2867KHZ,Yes
151,2867KHZ,Yes
152,2867KHZ,Yes
153,2867KHZ,Yes
154,2867KHZ,Yes
155,2867KHZ,Yes
156,2867KHZ,Yes
157,2867KHZ,Yes
158,2867KHZ,Yes
159,2867KHZ,Yes
160,2867KHZ,Yes
161,2867KHZ,Yes
162,2867KHZ,Yes
163,2867KHZ,Yes
164,2867KHZ,Yes
165,2867KHZ,Yes
166,2867KHZ,Yes
167,2867KHZ,Yes
168,2867KHZ,Yes
169,2867KHZ,Yes
170,2867KHZ,Yes
171,2867KHZ,Yes
172,2867KHZ,Yes
173,2867KHZ,Yes
174,2867KHZ,Yes
175,2867KHZ,Yes
176,2867KHZ,Yes
177,2867KHZ,Yes
178,2867KHZ,Yes
179,2867KHZ,Yes
180,2867KHZ,Yes
181,2867KHZ,Yes
182,2867KHZ,Yes
183,2867KHZ,Yes
184,2867KHZ,Yes
185,2867KHZ,Yes
186,2867KHZ,Yes
187,2867KHZ,Yes
188,2867KHZ,Yes
189,2867KHZ,Yes
190,2867KHZ,Yes
191,2867KHZ,Yes
192,2867KHZ,Yes
193,2867KHZ,Yes
194,2867KHZ,Yes
195,2867KHZ,Yes
196,2867KHZ,Yes
197,2867KHZ,Yes
198,2867KHZ,Yes
199,2867KHZ,Yes
200,2867KHZ,Yes
201,2867KHZ,Yes
202,2867KHZ,Yes
203,12067KHZ,Yes
204,12067KHZ,Yes
205,12867KHZ,Yes
206,12867KHZ,Yes
207,12867KHZ,Yes
208,12867KHZ,Yes
209,2867KHZ,Yes
210,2867KHZ,Yes
211,2867KHZ,Yes
212,2867KHZ,Yes
213,2867KHZ,Yes
214,2867KHZ,Yes
215,2867KHZ,Yes
216,2867KHZ,Yes
217,2867KHZ,Yes
218,2867KHZ,Yes
219,2867KHZ,Yes
220,2867KHZ,Yes
221,2867KHZ,Yes
222,2867KHZ,Yes
223,2867KHZ,Yes
224,2867KHZ,Yes
225,2867KHZ,Yes
226,2867KHZ,Yes
227,2867KHZ,Yes
228,2867KHZ,Yes
229,2867KHZ,Yes
230,2867KHZ,Yes
231,2867KHZ,Yes
232,2867KHZ,Yes
233,2867KHZ,Yes
234,2867KHZ,Yes
235,2867KHZ,Yes
236,42867KHZ,Yes
237,42867KHZ,Yes
238,42867KHZ,Yes
239,62867KHZ,Yes
240,42867KHZ,Yes
241,62867KHZ,Yes
242,42867KHZ,Yes
243,42867KHZ,Yes
244,42867KHZ,Yes
245,2867KHZ,Yes
246,2867KHZ,Yes
247,2867KHZ,Yes
248,2867KHZ,Yes
249,2867KHZ,Yes
250,2867KHZ,Yes
251,2867KHZ,Yes
252,2867KHZ,Yes
253,2867KHZ,Yes
254,2867KHZ,Yes
255,2867KHZ,Yes
256,2867KHZ,Yes
257,2867KHZ,Yes
258,2867KHZ,Yes
259,2867KHZ,Yes
260,2867KHZ,Yes
261,2867KHZ,Yes
262,2867KHZ,Yes
263,12867KHZ,Yes
264,12867KHZ,Yes
265,2867KHZ,Yes
266,12867KHZ,Yes
267,2867KHZ,Yes
268,42867KHZ,Yes
269,2867KHZ,Yes
270,2867KHZ,Yes
271,2867KHZ,Yes
272,12867KHZ,Yes
273,42867KHZ,Yes
274,2867KHZ,Yes
275,2867KHZ,Yes
276,2867KHZ,Yes
277,2867KHZ,Yes
278,2867KHZ,Yes
279,2867KHZ,Yes
280,2867KHZ,Yes
281,2867KHZ,Yes
282,2867KHZ,Yes
283,2867KHZ,Yes
284,62867KHZ,Yes
285,62867KHZ,Yes
286,2867KHZ,Yes
287,2867KHZ,Yes
288,62867KHZ,Yes
289,62867KHZ,Yes
290,2867KHZ,Yes
291,2867KHZ,Yes
292,2867KHZ,Yes
293,62867KHZ,Yes
294,02867KHZ,Yes
295,2867KHZ,Yes
296,2867KHZ,Yes
297,2867KHZ,Yes
298,2867KHZ,Yes
299,2867KHZ,Yes
300,2867KHZ,Yes
301,2867KHZ,Yes
302,2867KHZ,Yes
303,2867KHZ,Yes
304,2867KHZ,Yes
305,2867KHZ,Yes
306,02867KHZ,Yes
307,62867KHZ,Yes
308,02867KHZ,Yes
309,62867KHZ,Yes
310,42867KHZ,Yes
311,02867KHZ,Yes
312,2867KHZ,Yes
313,42867KHZ,Yes
314,02867KHZ,Yes
315,2867KHZ,Yes
316,2867KHZ,Yes
317,2867KHZ,Yes
318,02867KHZ,Yes
319,02867KHZ,Yes
320,02867KHZ,Yes
321,02867KHZ,Yes
322,42867KHZ,Yes
323,42867KHZ,Yes
324,02867KHZ,Yes
325,02867KHZ,Yes
326,02867KHZ,Yes
327,02867KHZ,Yes
328,2867KHZ,Yes
329,2867KHZ,Yes
330,2867KHZ,Yes
331,2867KHZ,Yes
332,2867KHZ,Yes
333,2867KHZ,Yes
334,2867KHZ,Yes
335,2867KHZ,Yes
336,2867KHZ,Yes
337,2867KHZ,Yes
338,2867KHZ,Yes
339,2867KHZ,Yes
340,2867KHZ,Yes
341,2867KHZ,Yes
342,2867KHZ,Yes
343,02867KHZ,Yes
344,42867KHZ,Yes
345,02867KHZ,Yes
346,02867KHZ,Yes
347,02867KHZ,Yes
348,02867KHZ,Yes
349,02867KHZ,Yes
350,2867KHZ,Yes
351,2867KHZ,Yes
352,2867KHZ,Yes
353,2867KHZ,Yes
354,2867KHZ,Yes
355,2867KHZ,Yes
356,2867KHZ,Yes
357,2867KHZ,Yes
358,2867KHZ,Yes
359,2867KHZ,Yes
360,2867KHZ,Yes
361,2867KHZ,Yes
362,2867KHZ,Yes
363,2867KHZ,Yes
364,2867KHZ,Yes
365,2867KHZ,Yes
366,2867KHZ,Yes
367,2867KHZ,Yes
368,L2867KHZ,Yes
369,2867KHZ,Yes
370,2867KHZ,Yes
371,2867KHZ,Yes
372,2867KHZ,Yes
373,2867KHZ,Yes
374,2867KHZ,Yes
375,2867KHZ,Yes
376,2867KHZ,Yes
377,2867KHZ,Yes
378,2867KHZ,Yes
379,2867KHZ,Yes
380,2867KHZ,Yes
381,2867KHZ,Yes
382,2867KHZ,Yes
383,2867KHZ,Yes
384,2867KHZ,Yes
385,2867KHZ,Yes
386,2867KHZ,Yes
387,2867KHZ,Yes
388,2867KHZ,Yes
389,2867KHZ,Yes
390,2867KHZ,Yes
391,2867KHZ,Yes
392,2867KHZ,Yes
393,2867KHZ,Yes
394,2867KHZ,Yes
395,2867KHZ,Yes
396,2867KHZ,Yes
397,2867KHZ,Yes
398,2867KHZ,Yes
399,2867KHZ,Yes
400,2867KHZ,Yes
401,2867KHZ,Yes
402,2867KHZ,Yes
403,2867KHZ,Yes
404,2867KHZ,Yes
405,2867KHZ,Yes
406,2867KHZ,Yes
407,2867KHZ,Yes
408,2867KHZ,Yes
409,2867KHZ,Yes
410,2867KHZ,Yes
411,2867KHZ,Yes
412,2867KHZ,Yes
413,2867KHZ,Yes
414,2867KHZ,Yes
415,2867KHZ,Yes
416,2867KHZ,Yes
417,2867KHZ,Yes
418,2867KHZ,Yes
419,2867KHZ,Yes
420,2867KHZ,Yes
421,2867KHZ,Yes
422,2867KHZ,Yes
423,2867KHZ,Yes
424,2867KHZ,Yes
425,2867KHZ,Yes
426,2867KHZ,Yes
427,2867KHZ,Yes
428,2867KHZ,Yes
429,2867KHZ,Yes
430,2867KHZ,Yes
431,2867KHZ,Yes
432,2867KHZ,Yes
433,2867KHZ,Yes
434,2867KHZ,Yes
435,2867KHZ,Yes
436,2867KHZ,Yes
437,2867KHZ,Yes
438,2867KHZ,Yes
439,2867KHZ,Yes
440,2867KHZ,Yes
441,2867KHZ,Yes
442,2867KHZ,Yes
443,2867KHZ,Yes
444,2867KHZ,Yes
445,2867KHZ,Yes
446,2867KHZ,Yes
447,2867KHZ,Yes
448,2867KHZ,Yes
449,2867KHZ,Yes
450,2867KHZ,Yes
451,2867KHZ,Yes
452,2867KHZ,Yes
453,2867KHZ,Yes
454,2867KHZ,Yes
455,2867KHZ,Yes
456,2867KHZ,Yes
457,2867KHZ,Yes
458,2867KHZ,Yes
459,2867KHZ,Yes
460,2867KHZ,Yes
461,2867KHZ,Yes
462,2867KHZ,Yes
463,2867KHZ,Yes
464,2867KHZ,Yes
465,2867KHZ,Yes
466,2867KHZ,Yes
467,2867KHZ,Yes
468,2867KHZ,Yes
469,2867KHZ,Yes
470,2867KHZ,Yes
471,2867KHZ,Yes
472,2867KHZ,Yes
473,2867KHZ,Yes
474,2867KHZ,Yes
475,2867KHZ,Yes
476,2867KHZ,Yes
477,2867KHZ,Yes
478,2867KHZ,Yes
479,2867KHZ,Yes
480,2867KHZ,Yes
481,2867KHZ,Yes
482,2867KHZ,Yes
483,2867KHZ,Yes
484,2867KHZ,Yes
485,2867KHZ,Yes
486,2867KHZ,Yes
487,2867KHZ,Yes
488,2867KHZ,Yes
489,2867KHZ,Yes
490,2867KHZ,Yes
491,2867KHZ,Yes
492,2867KHZ,Yes
493,2867KHZ,Yes
494,2867KHZ,Yes
495,2867KHZ,Yes
496,2867KHZ,Yes
497,2867KHZ,Yes
498,2867KHZ,Yes
499,2867KHZ,Yes
500,2867KHZ,Yes
501,2867KHZ,Yes
502,2867KHZ,Yes
503,2867KHZ,Yes
504,2867KHZ,Yes
505,2867KHZ,Yes
506,2867KHZ,Yes
507,KHZ,Yes
508,2867KHZ,Yes
509,2867KHZ,Yes
510,2867KHZ,Yes
511,2867KHZ,Yes
512,2867KHZ,Yes
513,2867KHZ,Yes
514,2867KHZ,Yes
515,2867KHZ,Yes
516,2867KHZ,Yes
517,2867KHZ,Yes
518,2867KHZ,Yes
519,2867KHZ,Yes
520,2867KHZ,Yes
521,2867KHZ,Yes
