frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
1,car,0.9,,931,304,1128,434,,0.9,right
1,car,0.76,,1371,322,1482,398,,0.76,right
1,person,0.75,,302,283,364,446,,0.75,left
1,person,0.74,,398,261,458,446,,0.74,left
1,car,0.73,,1128,313,1201,363,,0.73,right
1,car,0.63,,1284,319,1343,347,,0.63,right
1,car,0.61,,1343,321,1381,350,,0.61,right
1,car,0.4,,1218,319,1251,341,,0.4,right
1,car,0.38,,1345,322,1398,351,,0.38,right
1,car,0.31,,1370,323,1513,387,,0.31,right
1,car,0.31,,1251,317,1284,340,,0.31,right
1,car,0.31,,1275,317,1312,343,,0.31,right
1,car,0.29,,1461,322,1515,386,,0.29,right
2,car,0.89,,923,303,1129,438,,0.89,right
2,person,0.82,,304,281,368,447,,0.82,left
2,person,0.75,,399,267,463,446,,0.75,left
2,car,0.74,,1371,324,1475,397,,0.74,right
2,car,0.71,,1127,312,1201,363,,0.71,right
2,car,0.63,,1284,319,1343,348,,0.63,right
2,car,0.61,,1343,322,1381,350,,0.61,right
2,car,0.41,,1218,319,1251,341,,0.41,right
2,car,0.37,,1464,323,1513,383,,0.37,right
2,car,0.33,,1345,323,1393,349,,0.33,right
2,car,0.31,,1251,316,1283,340,,0.31,right
2,car,0.29,,1275,317,1307,343,,0.29,right
3,car,0.88,,912,303,1123,442,,0.88,right
3,person,0.78,,400,267,473,447,,0.78,left
3,person,0.78,,307,274,377,447,,0.78,left
3,car,0.76,,1367,324,1470,394,,0.76,right
3,car,0.74,,1123,312,1203,365,,0.74,right
3,car,0.63,,1284,319,1343,348,,0.63,right
3,car,0.57,,1342,321,1373,350,,0.57,right
3,car,0.47,,1464,325,1513,384,,0.47,right
3,car,0.4,,1219,319,1251,341,,0.4,right
3,car,0.29,,1251,316,1283,340,,0.29,right
3,car,0.28,,1276,317,1313,343,,0.28,right
4,car,0.86,,900,302,1118,445,,0.86,right
4,car,0.8,,1364,324,1469,393,,0.8,right
4,person,0.78,,401,267,475,448,,0.78,left
4,person,0.77,,309,278,385,447,,0.77,left
4,car,0.7,,1122,313,1203,365,,0.7,right
4,car,0.61,,1285,319,1342,348,,0.61,right
4,car,0.55,,1342,322,1371,347,,0.55,right
4,car,0.48,,1462,325,1513,384,,0.48,right
4,car,0.39,,1218,319,1251,341,,0.39,right
4,car,0.27,,1251,316,1283,340,,0.27,right
5,car,0.88,,890,303,1110,451,,0.88,right
5,person,0.79,,311,277,383,446,,0.79,left
5,car,0.79,,1362,324,1466,392,,0.79,right
5,person,0.73,,403,280,475,448,,0.73,left
5,car,0.73,,1121,312,1201,365,,0.73,right
5,car,0.62,,1285,319,1342,348,,0.62,right
5,car,0.55,,1343,321,1371,348,,0.55,right
