frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
1,car,0.87,,280,178,404,281,,0.87,right
1,person,0.48,,586,196,600,226,,0.48,right
2,car,0.89,,280,178,407,283,,0.89,right
2,person,0.44,,586,196,602,227,,0.44,right
3,car,0.9,,280,177,409,284,,0.9,right
3,person,0.33,,588,197,603,227,,0.33,right
4,car,0.86,,280,177,411,284,,0.86,right
4,person,0.38,,589,196,604,226,,0.38,right
4,car,0.37,,0,194,21,231,,0.37,left
4,person,0.31,,97,192,104,216,,0.31,left
5,car,0.89,,280,176,413,286,,0.89,right
5,car,0.46,,0,194,19,231,,0.46,left
5,person,0.45,,589,197,605,227,,0.45,right
5,person,0.32,,96,191,104,216,,0.32,left
6,car,0.87,,279,176,414,285,,0.87,right
6,car,0.48,,0,193,17,230,,0.48,left
6,person,0.42,,590,197,606,227,,0.42,right
7,car,0.88,,279,175,416,285,,0.88,right
7,person,0.47,,592,195,608,227,,0.47,right
7,car,0.44,,0,194,16,230,,0.44,left
8,car,0.89,,278,175,417,287,,0.89,right
8,person,0.52,,593,195,608,227,,0.52,right
8,car,0.51,,0,194,15,231,,0.51,left
8,person,0.26,,81,193,89,214,,0.26,left
9,car,0.9,,278,174,419,288,,0.9,right
9,person,0.59,,594,195,610,228,,0.59,right
9,person,0.3,,93,191,102,216,,0.3,left
9,person,0.27,,81,193,89,214,,0.27,left
9,car,0.27,,0,193,14,230,,0.27,left
10,car,0.9,,278,174,421,288,,0.9,right
10,person,0.59,,595,195,611,228,,0.59,right
10,person,0.28,,92,191,101,216,,0.28,left
10,person,0.28,,79,194,89,214,,0.28,left
11,car,0.89,,277,173,423,290,,0.89,right
11,person,0.54,,595,197,612,229,,0.54,right
11,person,0.3,,79,193,88,214,,0.3,left
12,car,0.9,,277,173,425,295,,0.9,right
12,person,0.47,,596,197,613,229,,0.47,right
13,car,0.88,,277,173,427,298,,0.88,right
13,person,0.4,,597,196,615,228,,0.4,right
13,person,0.28,,78,193,88,214,,0.28,left
14,car,0.88,,276,173,429,297,7,0.88,right
14,person,0.3,,597,197,616,229,,0.3,right
14,person,0.26,,78,193,88,213,,0.26,left
15,car,0.89,,276,172,430,296,,0.89,right
16,car,0.87,,276,172,432,297,,0.87,right
16,person,0.38,,7,191,20,221,,0.38,left
16,person,0.37,,598,197,617,230,,0.37,right
17,car,0.87,,276,171,433,298,,0.87,right
17,person,0.38,,598,196,617,230,,0.38,right
17,person,0.27,,77,192,86,214,,0.27,left
17,person,0.27,,5,192,19,221,,0.27,left
18,car,0.9,,276,170,435,301,,0.9,right
18,person,0.38,,599,196,618,230,,0.38,right
18,person,0.31,,4,192,18,221,,0.31,left
18,person,0.26,,89,191,97,215,,0.26,left
19,car,0.89,,276,170,437,298,,0.89,right
19,person,0.35,,600,196,618,230,,0.35,right
19,person,0.32,,3,192,17,220,,0.32,left
20,car,0.9,,276,169,439,300,,0.9,right
20,person,0.35,,601,196,617,230,,0.35,right
20,person,0.26,,501,199,511,227,,0.26,right
21,car,0.91,,276,169,441,299,,0.91,right
21,person,0.35,,602,196,617,230,,0.35,right
21,person,0.29,,502,199,511,227,,0.29,right
22,car,0.89,,275,169,442,300,,0.89,right
23,car,0.9,,275,169,444,301,,0.9,right
23,person,0.3,,601,197,618,231,,0.3,right
23,person,0.26,,502,199,512,227,,0.26,right
24,car,0.91,,275,168,446,302,,0.91,right
24,person,0.34,,603,198,618,232,,0.34,right
24,person,0.26,,502,200,512,228,,0.26,right
24,truck,0.26,,0,165,53,220,,0.26,left
25,car,0.9,,275,168,448,299,4,0.9,right
25,person,0.3,,603,198,618,231,,0.3,right
26,car,0.91,,275,167,449,300,,0.91,right
26,person,0.38,,603,197,618,231,,0.38,right
27,car,0.91,,275,167,450,302,8,0.91,right
27,person,0.39,,603,197,618,232,,0.39,right
28,car,0.91,,273,167,451,302,,0.91,right
28,person,0.35,,604,197,618,231,,0.35,right
29,car,0.9,,274,167,452,302,,0.9,right
29,person,0.49,,604,199,618,234,,0.49,right
29,person,0.28,,104,193,112,212,,0.28,left
30,car,0.88,,273,167,454,304,,0.88,right
30,person,0.6,,604,200,619,237,,0.6,right
30,person,0.33,,103,193,112,212,,0.33,left
30,person,0.28,,72,192,81,214,,0.28,left
31,car,0.89,,273,167,455,303,24,0.89,right
31,person,0.53,,604,200,619,234,,0.53,right
31,person,0.34,,103,194,112,212,,0.34,left
31,person,0.26,,72,192,81,214,,0.26,left
32,car,0.9,,273,167,457,302,2,0.9,right
32,person,0.52,,605,200,619,233,,0.52,right
32,person,0.34,,103,194,112,213,,0.34,left
32,person,0.27,,83,192,92,215,,0.27,left
33,car,0.89,,273,167,458,303,,0.89,right
33,person,0.47,,605,200,619,230,,0.47,right
33,person,0.31,,103,194,112,213,,0.31,left
34,car,0.89,,272,166,460,303,,0.89,right
34,person,0.47,,605,200,619,229,,0.47,right
34,person,0.3,,103,193,111,213,,0.3,left
35,car,0.89,,272,166,460,302,,0.89,right
35,person,0.46,,605,200,619,229,,0.46,right
35,person,0.29,,103,193,112,213,,0.29,left
35,person,0.26,,70,192,80,214,,0.26,left
36,car,0.88,,271,165,462,302,,0.88,right
36,person,0.43,,605,199,619,230,,0.43,right
