frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
1,car,0.9,,280,178,404,281,,0.9,right
1,person,0.57,,584,196,602,227,,0.57,right
2,car,0.9,,280,177,406,283,,0.9,right
2,person,0.69,,585,195,603,228,,0.69,right
2,person,0.41,,584,193,603,238,,0.41,right
2,person,0.26,,122,179,133,215,,0.26,left
2,person,0.26,,96,191,104,215,,0.26,left
3,car,0.9,,279,177,407,283,,0.9,right
3,person,0.6,,587,197,603,227,,0.6,right
4,car,0.88,,280,177,409,284,,0.88,right
4,person,0.48,,588,197,604,227,,0.48,right
4,person,0.35,,120,178,133,215,,0.35,left
4,person,0.33,,95,193,104,215,,0.33,left
4,car,0.3,,0,194,21,232,,0.3,left
5,car,0.89,,279,177,411,285,,0.89,right
5,person,0.56,,589,196,606,228,,0.56,right
5,person,0.32,,95,191,104,214,,0.32,left
5,car,0.3,,0,195,19,232,,0.3,left
6,car,0.89,,279,176,412,286,,0.89,right
6,person,0.52,,591,196,605,227,,0.52,right
7,car,0.9,,279,176,415,286,,0.9,right
7,person,0.63,,591,195,609,228,,0.63,right
7,car,0.32,,0,192,17,230,,0.32,left
7,person,0.26,,94,193,102,214,,0.26,left
8,car,0.88,,279,175,417,286,,0.88,right
8,person,0.68,,592,194,610,228,,0.68,right
8,car,0.45,,0,192,15,231,,0.45,left
8,person,0.26,,502,202,511,226,,0.26,right
9,car,0.87,,279,175,420,288,,0.87,right
9,person,0.69,,593,195,610,229,,0.69,right
9,car,0.37,,0,191,15,231,,0.37,left
9,person,0.26,,92,192,101,214,,0.26,left
10,car,0.85,,278,174,421,289,,0.85,right
10,person,0.69,,595,195,611,228,,0.69,right
10,car,0.42,,0,191,14,230,,0.42,left
10,person,0.29,,80,194,89,214,,0.29,left
11,car,0.87,,278,173,423,291,,0.87,right
11,person,0.65,,595,195,612,229,,0.65,right
11,person,0.46,,79,194,88,213,,0.46,left
11,person,0.31,,14,191,27,220,,0.31,left
12,car,0.85,,277,173,424,293,,0.85,right
12,person,0.57,,596,195,613,228,,0.57,right
12,person,0.5,,12,190,25,222,,0.5,left
12,person,0.39,,78,193,88,213,,0.39,left
13,car,0.85,,277,172,428,298,,0.85,right
13,person,0.52,,598,196,614,228,,0.52,right
13,person,0.42,,78,193,88,213,,0.42,left
13,person,0.42,,10,190,24,221,,0.42,left
13,person,0.3,,90,189,100,214,,0.3,left
14,car,0.85,,277,172,429,298,,0.85,right
14,person,0.51,,598,196,616,229,,0.51,right
14,person,0.35,,78,193,88,213,,0.35,left
14,person,0.31,,89,190,99,215,,0.31,left
15,car,0.87,,276,172,430,298,,0.87,right
15,person,0.45,,597,196,617,229,,0.45,right
15,person,0.4,,77,192,88,213,,0.4,left
15,person,0.37,,89,190,99,215,,0.37,left
16,car,0.88,,276,171,432,299,BETA2,0.88,right
16,person,0.53,,598,196,618,230,,0.53,right
16,person,0.33,,6,192,21,221,,0.33,left
16,person,0.3,,89,190,98,214,,0.3,left
16,person,0.29,,77,193,87,213,,0.29,left
17,car,0.88,,276,171,433,300,12BB7AH2,0.88,right
17,person,0.51,,598,196,618,231,,0.51,right
17,person,0.41,,89,190,98,214,,0.41,left
17,person,0.32,,4,191,19,221,,0.32,left
17,person,0.29,,77,193,87,213,,0.29,left
18,car,0.88,,276,171,435,302,B2BG7AH2,0.88,right
18,person,0.54,,599,195,619,241,,0.54,right
18,person,0.52,,3,191,18,222,,0.52,left
18,person,0.39,,89,190,98,214,,0.39,left
18,person,0.29,,117,176,129,213,,0.29,left
18,person,0.26,,76,193,86,213,,0.26,left
19,car,0.89,,275,170,437,301,L28B7AME,0.89,right
19,person,0.52,,599,195,619,240,,0.52,right
19,person,0.42,,88,190,97,214,,0.42,left
19,person,0.4,,3,191,16,221,,0.4,left
19,person,0.37,,118,177,129,212,,0.37,left
19,person,0.26,,76,193,86,213,,0.26,left
20,car,0.89,,274,169,439,302,,0.89,right
20,person,0.52,,601,195,618,234,,0.52,right
20,person,0.44,,1,191,15,221,,0.44,left
20,person,0.42,,87,189,97,214,,0.42,left
20,person,0.27,,118,177,129,210,,0.27,left
21,car,0.88,,274,169,440,302,B2667KMZ,0.88,right
21,person,0.45,,601,196,618,235,,0.45,right
21,person,0.43,,87,189,96,214,,0.43,left
21,person,0.31,,118,179,129,212,,0.31,left
21,person,0.3,,0,191,13,223,,0.3,left
21,person,0.29,,76,192,86,213,,0.29,left
21,person,0.26,,64,189,72,214,,0.26,left
22,car,0.88,,273,169,441,305,,0.88,right
22,person,0.45,,601,196,618,237,,0.45,right
22,person,0.41,,87,189,96,214,,0.41,left
22,person,0.38,,117,179,129,213,,0.38,left
22,person,0.3,,75,191,86,213,,0.3,left
22,person,0.28,,63,188,72,214,,0.28,left
23,car,0.85,,273,169,444,304,,0.85,right
23,person,0.44,,602,197,618,233,,0.44,right
23,person,0.4,,87,189,95,214,,0.4,left
23,person,0.34,,117,179,129,212,,0.34,left
23,person,0.32,,63,188,72,214,,0.32,left
23,car,0.28,,0,189,10,222,,0.28,left
24,car,0.84,,273,168,446,303,A2867H2,0.84,right
24,person,0.41,,87,189,95,214,,0.41,left
24,person,0.37,,603,198,618,233,,0.37,right
24,person,0.35,,62,188,72,214,,0.35,left
24,person,0.27,,115,179,128,213,,0.27,left
24,person,0.26,,64,188,73,215,,0.26,left
25,car,0.85,,271,168,447,303,B2867KH2,0.85,right
25,person,0.42,,87,189,95,214,,0.42,left
25,person,0.29,,603,198,618,233,,0.29,right
25,person,0.27,,62,188,71,213,,0.27,left
26,car,0.82,,272,168,448,302,2867KHZ,0.82,right
26,person,0.43,,603,198,618,233,,0.43,right
26,person,0.37,,87,189,94,213,,0.37,left
27,car,0.83,,271,168,449,302,2867KHZ,0.83,right
27,person,0.48,,603,199,619,234,,0.48,right
27,person,0.32,,86,189,94,213,,0.32,left
28,car,0.87,,271,168,451,303,B2867KHZ,0.87,right
28,person,0.43,,603,197,619,238,,0.43,right
28,person,0.29,,85,189,93,213,,0.29,left
28,person,0.27,,71,190,79,213,,0.27,left
29,car,0.88,,272,169,452,305,,0.88,right
29,person,0.52,,603,198,619,237,,0.52,right
29,person,0.34,,72,190,80,213,,0.34,left
29,person,0.33,,73,190,82,214,,0.33,left
29,person,0.28,,85,189,93,214,,0.28,left
30,car,0.88,,271,168,454,305,BS2867KHZ,0.88,right
30,person,0.64,,604,199,619,240,,0.64,right
30,person,0.41,,71,189,80,214,,0.41,left
30,person,0.4,,72,189,82,214,,0.4,left
30,person,0.26,,69,189,78,214,,0.26,left
31,car,0.86,,270,167,455,305,B2867KHZ,0.86,right
31,person,0.66,,604,199,619,240,,0.66,right
31,person,0.35,,72,191,80,213,,0.35,left
31,person,0.35,,73,191,82,214,,0.35,left
32,car,0.87,,270,167,456,304,82867KH2,0.87,right
32,person,0.67,,604,199,619,239,,0.67,right
32,person,0.39,,71,191,80,213,,0.39,left
32,person,0.38,,73,191,82,213,,0.38,left
33,car,0.88,,270,167,457,306,2867KHZ,0.88,right
33,person,0.68,,605,199,619,239,,0.68,right
33,person,0.41,,71,191,79,213,,0.41,left
33,person,0.38,,72,191,81,214,,0.38,left
34,car,0.87,,270,167,458,305,B2867KH2,0.87,right
34,person,0.61,,605,199,619,239,,0.61,right
34,person,0.44,,70,190,79,213,,0.44,left
34,person,0.32,,82,190,91,214,,0.32,left
35,car,0.89,,270,167,459,304,B2867KH2,0.89,right
35,person,0.42,,70,191,79,213,,0.42,left
35,person,0.4,,605,198,619,239,,0.4,right
35,person,0.32,,82,190,91,214,,0.32,left
36,car,0.88,,270,166,460,304,B2857KHZI,0.88,right
36,person,0.47,,605,198,619,240,,0.47,right
36,person,0.38,,71,191,80,213,,0.38,left
36,person,0.37,,82,190,91,214,,0.37,left
37,car,0.89,,269,166,461,304,B2867KH2,0.89,right
37,person,0.52,,604,198,619,239,,0.52,right
37,person,0.4,,81,190,91,214,,0.4,left
37,person,0.39,,70,191,80,213,,0.39,left
38,car,0.88,,270,166,464,304,12867KHZ,0.88,right
38,person,0.58,,604,198,619,239,,0.58,right
38,person,0.4,,81,190,91,214,,0.4,left
38,person,0.39,,70,191,80,213,,0.39,left
39,car,0.88,,269,166,465,305,2867KHZ,0.88,right
39,person,0.42,,81,190,91,214,,0.42,left
39,person,0.36,,70,191,80,213,,0.36,left
39,person,0.29,,604,199,619,238,,0.29,right
40,car,0.88,,269,166,465,305,82867KHZ,0.88,right
40,person,0.44,,81,190,91,215,,0.44,left
40,person,0.35,,70,191,80,213,,0.35,left
