frame,license_plate,detected
16,BETA2,Yes
17,12BB7AH2,Yes
18,B2BG7AH2,Yes
19,L28B7AME,Yes
21,B2667KMZ,Yes
24,A2867H2,Yes
25,B2867KH2,Yes
26,2867KHZ,Yes
27,2867KHZ,Yes
28,B2867KHZ,Yes
30,BS2867KHZ,Yes
31,B2867KHZ,Yes
32,82867KH2,Yes
33,2867KHZ,Yes
34,B2867KH2,Yes
35,B2867KH2,Yes
36,B2857KHZI,Yes
37,B2867KH2,Yes
38,12867KHZ,Yes
39,2867KHZ,Yes
40,82867KHZ,Yes
41,82867KHZ,Yes
42,82867KHZ,Yes
43,B2867KHZ,Yes
44,B2867KHZ,Yes
45,B2867KHZ,Yes
46,2867KHZ,Yes
47,2867KHZ,Yes
48,2867KHZ,Yes
49,B2867KHZ,Yes
50,B2867KHZ,Yes
51,B2867KHZ,Yes
52,2867KHZI,Yes
53,82867KHZ,Yes
54,82867KHZ,Yes
55,52867KHZI,Yes
56,2867KHZ,Yes
57,2867KHZ,Yes
58,2867KHZ,Yes
59,2867KHZ,Yes
60,2867KHZ,Yes
61,42867KHZ,Yes
62,2867KHZ,Yes
63,2867KHZ,Yes
64,82867KHZ,Yes
65,82867KHZ,Yes
66,82867KHZ,Yes
67,2867KHZ,Yes
68,62867KHZ,Yes
69,62867KHZ,Yes
70,62867KHZ,Yes
71,62867KHZ,Yes
72,62867KHZ,Yes
73,62867KHZ,Yes
74,82867KHZ,Yes
75,62867KHZ,Yes
76,82867KHZ,Yes
77,82867KHZ,Yes
78,2867KHZ,Yes
79,82867KHZ,Yes
80,82867KHZ,Yes
81,82867KHZ,Yes
82,42867KHZ,Yes
83,82867KHZ,Yes
84,42867KHZ,Yes
85,42867KHZ,Yes
86,42867KHZ,Yes
87,42867KHZ,Yes
88,42867KHZ,Yes
89,42867KHZ,Yes
90,82867KHZ,Yes
91,42867KHZ,Yes
92,B2867KHZ,Yes
93,R2867KHZ,Yes
94,82867KH2,Yes
95,82867KHZ,Yes
96,82867KHZ,Yes
97,42867KHZ,Yes
98,82867KHZ,Yes
99,82867KHZ,Yes
100,82867KHZ,Yes
101,R2867KHZ,Yes
102,82867KHZ,Yes
103,R2867KHZ,Yes
104,M2867KHZ,Yes
105,R2867KHZ,Yes
106,A2867KHZ,Yes
107,R2867KHZ,Yes
108,R2867KHZ,Yes
109,82867KHZ,Yes
110,82867KHZ,Yes
111,82867KHZ,Yes
112,82867KHZ,Yes
113,82867KHZ,Yes
114,B2867KHZ,Yes
115,B2867KHZ,Yes
116,2867KHZ,Yes
117,2867KHZ,Yes
118,2867KHZ,Yes
119,2867KHZ,Yes
120,2867KHZ,Yes
121,2867KH2,Yes
122,2867KH2,Yes
123,2867KHZ,Yes
124,2867KHZ,Yes
125,2867KHZ,Yes
126,R2867KH2,Yes
127,2867KHZ,Yes
128,2867KH2,Yes
129,2867KH2,Yes
130,2867KH2,Yes
131,2867KH2,Yes
132,2867KH2,Yes
133,2867KHZ,Yes
134,2867KH2,Yes
135,2867KHZ,Yes
136,2867KHZ,Yes
137,2867KHZ,Yes
138,2867KHZ,Yes
139,2867KHZ,Yes
140,2867KHZ,Yes
141,2867KHZI,Yes
142,2867KHZ,Yes
143,R2867KHZ,Yes
144,R2867KH7,Yes
145,R2867KHZ,Yes
146,R2867KHZ,Yes
147,2867KHZ,Yes
148,2867KH7,Yes
149,2867KHZ,Yes
150,82867KHZ,Yes
151,82867KHZ,Yes
152,2867KHZ,Yes
153,82867KH2,Yes
154,82867KHZ,Yes
155,82867KHZ,Yes
156,82867KHZ,Yes
157,2867KH7,Yes
158,82867KHZI,Yes
159,42867KH7,Yes
160,82867KHZI,Yes
161,82867KHZI,Yes
162,2867KHZI,Yes
163,2867KH7,Yes
164,82867KH7,Yes
165,82867KH7,Yes
166,82867KH7,Yes
167,82867KHZ,Yes
168,2867KH7,Yes
169,2867KH7,Yes
170,2867KH7,Yes
171,2867KH7,Yes
172,82867KH7,Yes
173,82867KH7,Yes
174,R2867KH7,Yes
175,2867KH7,Yes
176,R2867KH7,Yes
177,R2867KH7,Yes
178,R2867KHZ,Yes
179,2867KH7,Yes
180,42867KH7,Yes
181,2867KH7,Yes
182,42867KH7,Yes
183,2867KH7,Yes
184,2867KH7,Yes
185,82867KH7,Yes
186,82867KHZ,Yes
187,82867KHZ,Yes
188,82867KHZ,Yes
189,82867KHZ,Yes
190,2867KH7,Yes
191,42867KHZ,Yes
192,2867KHZ,Yes
193,2867KH7,Yes
194,2867KHZ,Yes
195,2867KHZ,Yes
196,2867KH7,Yes
197,82867KH7,Yes
198,2867KH7,Yes
199,B2867KHZ,Yes
200,B2867KHZ,Yes
201,82867KH7,Yes
202,R2867KH7,Yes
203,2867KHZ,Yes
204,2867KH7,Yes
205,2867KHZ,Yes
206,2867KHZ,Yes
207,2867KHZ,Yes
208,2867KHZ,Yes
209,2867KHZ,Yes
210,2867KHZ,Yes
211,R2867KHZ,Yes
212,2867KHZ,Yes
213,2867KHZ,Yes
214,B2867KHZ,Yes
215,R2867KH7,Yes
216,R2867KH7,Yes
217,2867KH7,Yes
218,82867KH7,Yes
219,82867KH7,Yes
220,82867KH7,Yes
221,82867KH7,Yes
222,82867KH7,Yes
223,B2867KHZ,Yes
224,82867KHZ,Yes
225,R2867KH7,Yes
226,2867KHZ,Yes
227,B2867KH7,Yes
228,B2867KH7,Yes
229,R2867KH7,Yes
230,R2867KH7,Yes
231,R2867KH7,Yes
232,R2867KH7,Yes
233,R2867KH7,Yes
234,R2867KH7,Yes
235,B2867KHZ,Yes
236,2867KHZ,Yes
237,2867KHZ,Yes
238,2867KHZ,Yes
239,82867KHZ,Yes
240,2867KHZ,Yes
241,2867KHZ,Yes
242,2867KHZ,Yes
243,2867KHZ,Yes
244,82867KHZ,Yes
245,2867KHZ,Yes
246,2867KHZ,Yes
247,2867KHZ,Yes
248,2867KHZ,Yes
249,2867KHZ,Yes
250,2867KHZ,Yes
251,2867KHZ9,Yes
252,2867KHZ9,Yes
253,2867KHZ,Yes
254,2867KHZ,Yes
255,2867KHZ,Yes
256,2867KHZ,Yes
257,2867KHZ,Yes
258,2867KHZ,Yes
259,2867KHZ,Yes
260,2867KHZ,Yes
261,2867KHZ,Yes
262,2867KHZ,Yes
263,2867KHZ,Yes
264,2867KHZ,Yes
265,2867KHZ,Yes
266,2867KHZ,Yes
267,B2867KHZ,Yes
268,R2867KHZ,Yes
269,2867KHZ,Yes
270,2867KHZ,Yes
271,2867KHZ,Yes
272,B2867KHZ,Yes
273,2867KHZ,Yes
274,2867KHZ,Yes
275,2867KHZ,Yes
276,2867KHZ,Yes
277,2867KHZ,Yes
278,42867KHZ,Yes
279,B2867KHZ,Yes
280,R2867KHZ,Yes
281,R2867KHZ,Yes
282,R2867KHZ,Yes
283,R2867KHZ,Yes
284,B2867KHZ,Yes
285,B2867KHZ,Yes
286,52867KH7,Yes
287,B2867KHZ,Yes
288,B2867KHZ,Yes
289,B2867KHZ,Yes
290,B2867KHZ,Yes
291,B2867KHZ,Yes
292,B2867KHZ,Yes
293,B2867KHZ,Yes
294,B2867KHZ,Yes
295,2867KHZ,Yes
296,S2867KHZ,Yes
297,B2867KH7,Yes
298,B2867KH7,Yes
299,B2867KH7,Yes
300,2867KHZ,Yes
